SKU,Description,"List Price","Buy Price","Stock Oakville","Stock Mississauga","Stock Saskatoon","Part Type ID","Shop View ID","Sorting ID","Location ID",Visibility,"Is Clearance","Interchange Numbers",Fitments,"Image Source"
SKU-00030,"Product Description for SKU-00030 - High Quality Auto Part",110,66,23,10,21,1,1,1,BIN-8,public,0,"IC-6471,IC-1973",2016-2017|FORD|EXPLORER,"img/Parts/2.png,img/Parts/3.png,img/Parts/4.png,img/Parts/5.png"
SKU-00031,"Product Description for SKU-00031 - High Quality Auto Part",466,279.6,25,19,6,1,1,1,BIN-2,public,0,"IC-4361,IC-1801",2016-2021|TOYOTA|CAMRY,"img/Parts/6.png,img/Parts/7.jpg,img/Parts/8.png,img/Parts/9.jpg"
SKU-00032,"Product Description for SKU-00032 - High Quality Auto Part",271,162.6,43,6,7,1,1,1,BIN-31,public,0,"IC-5424,IC-9229","2012-2015|BMW|5 SERIES","img/Parts/10.jpg,img/Parts/11.jpg,img/Parts/12.jpg,img/Parts/13.jpg"
SKU-00033,"Product Description for SKU-00033 - High Quality Auto Part",219,131.4,11,35,42,1,1,1,BIN-18,public,0,"IC-5455,IC-7036",2015-2018|CHEVROLET|EQUINOX,"img/Parts/14.jpg,img/Parts/15.jpg,img/Parts/16.jpg,img/Parts/17.jpg"
SKU-00034,"Product Description for SKU-00034 - High Quality Auto Part",367,220.2,22,11,21,1,1,1,BIN-63,public,0,"IC-3361,IC-4058",2018-2019|TOYOTA|RAV4,"img/Parts/1.png,img/Parts/2.png,img/Parts/3.png,img/Parts/4.png"
SKU-00035,"Product Description for SKU-00035 - High Quality Auto Part",490,294,41,49,47,1,1,1,BIN-15,public,0,"IC-2736,IC-5800",2017-2020|FORD|EXPLORER,"img/Parts/5.png,img/Parts/6.png,img/Parts/7.jpg,img/Parts/8.png"
SKU-00036,"Product Description for SKU-00036 - High Quality Auto Part",242,145.2,44,38,30,1,1,1,BIN-53,public,0,"IC-9562,IC-1493",2013-2017|CHEVROLET|EQUINOX,"img/Parts/9.jpg,img/Parts/10.jpg,img/Parts/11.jpg,img/Parts/12.jpg"
SKU-00037,"Product Description for SKU-00037 - High Quality Auto Part",350,210,3,14,8,1,1,1,BIN-22,public,0,"IC-5777,IC-6711","2011-2012|CHEVROLET|SILVERADO 1500","img/Parts/13.jpg,img/Parts/14.jpg,img/Parts/15.jpg,img/Parts/16.jpg"
SKU-00038,"Product Description for SKU-00038 - High Quality Auto Part",184,110.4,5,21,49,1,1,1,BIN-44,public,0,"IC-9217,IC-1479","2012-2014|BMW|5 SERIES","img/Parts/17.jpg,img/Parts/1.png,img/Parts/2.png,img/Parts/3.png"
SKU-00039,"Product Description for SKU-00039 - High Quality Auto Part",302,181.2,43,28,24,1,1,1,BIN-20,public,0,"IC-1995,IC-4163","2020-2023|CHEVROLET|SILVERADO 1500","img/Parts/4.png,img/Parts/5.png,img/Parts/6.png,img/Parts/7.jpg"
SKU-00040,"Product Description for SKU-00040 - High Quality Auto Part",325,195,13,5,34,1,1,1,BIN-81,public,0,"IC-2475,IC-3632",2014-2016|FORD|EXPLORER,"img/Parts/8.png,img/Parts/9.jpg,img/Parts/10.jpg,img/Parts/11.jpg"
SKU-00041,"Product Description for SKU-00041 - High Quality Auto Part",132,79.2,43,23,2,1,1,1,BIN-6,public,0,"IC-4515,IC-8320",2017-2022|FORD|ESCAPE,"img/Parts/12.jpg,img/Parts/13.jpg,img/Parts/14.jpg,img/Parts/15.jpg"
SKU-00042,"Product Description for SKU-00042 - High Quality Auto Part",68,40.8,15,17,26,1,1,1,BIN-63,public,0,"IC-3074,IC-7566",2017-2019|TOYOTA|RAV4,"img/Parts/16.jpg,img/Parts/17.jpg,img/Parts/1.png,img/Parts/2.png"
SKU-00043,"Product Description for SKU-00043 - High Quality Auto Part",191,114.6,32,8,46,1,1,1,BIN-94,public,0,"IC-9517,IC-2800",2018-2021|CHEVROLET|MALIBU,"img/Parts/3.png,img/Parts/4.png,img/Parts/5.png,img/Parts/6.png"
SKU-00044,"Product Description for SKU-00044 - High Quality Auto Part",311,186.6,12,2,6,1,1,1,BIN-76,public,0,"IC-6415,IC-6965",2013-2017|FORD|F-150,"img/Parts/7.jpg,img/Parts/8.png,img/Parts/9.jpg,img/Parts/10.jpg"
SKU-00045,"Product Description for SKU-00045 - High Quality Auto Part",256,153.6,43,27,43,1,1,1,BIN-88,public,0,"IC-6351,IC-2638","2019-2021|BMW|5 SERIES","img/Parts/11.jpg,img/Parts/12.jpg,img/Parts/13.jpg,img/Parts/14.jpg"
SKU-00046,"Product Description for SKU-00046 - High Quality Auto Part",261,156.6,26,36,7,1,1,1,BIN-46,public,0,"IC-5108,IC-4853","2020-2025|CHEVROLET|SILVERADO 1500","img/Parts/15.jpg,img/Parts/16.jpg,img/Parts/17.jpg,img/Parts/1.png"
SKU-00047,"Product Description for SKU-00047 - High Quality Auto Part",486,291.6,39,33,30,1,1,1,BIN-33,public,0,"IC-1979,IC-7647",2013-2018|HONDA|ACCORD,"img/Parts/2.png,img/Parts/3.png,img/Parts/4.png,img/Parts/5.png"
SKU-00048,"Product Description for SKU-00048 - High Quality Auto Part",464,278.4,5,43,24,1,1,1,BIN-10,public,0,"IC-9264,IC-1949",2017-2019|TOYOTA|RAV4,"img/Parts/6.png,img/Parts/7.jpg,img/Parts/8.png,img/Parts/9.jpg"
SKU-00049,"Product Description for SKU-00049 - High Quality Auto Part",398,238.8,26,10,24,1,1,1,BIN-41,public,0,"IC-3166,IC-7709",2016-2020|HONDA|ACCORD,"img/Parts/10.jpg,img/Parts/11.jpg,img/Parts/12.jpg,img/Parts/13.jpg"
SKU-00050,"Product Description for SKU-00050 - High Quality Auto Part",270,162,34,14,4,1,1,1,BIN-58,public,0,"IC-8662,IC-9010",2019-2020|TOYOTA|CAMRY,"img/Parts/14.jpg,img/Parts/15.jpg,img/Parts/16.jpg,img/Parts/17.jpg"
SKU-00051,"Product Description for SKU-00051 - High Quality Auto Part",288,172.8,23,37,28,1,1,1,BIN-12,public,0,"IC-7717,IC-8851",2011-2014|FORD|ESCAPE,"img/Parts/1.png,img/Parts/2.png,img/Parts/3.png,img/Parts/4.png"
SKU-00052,"Product Description for SKU-00052 - High Quality Auto Part",428,256.8,10,3,49,1,1,1,BIN-43,public,0,"IC-3243,IC-6654",2010-2013|HONDA|ACCORD,"img/Parts/5.png,img/Parts/6.png,img/Parts/7.jpg,img/Parts/8.png"
SKU-00053,"Product Description for SKU-00053 - High Quality Auto Part",94,56.4,23,26,6,1,1,1,BIN-42,public,0,"IC-2953,IC-9692",2012-2016|TOYOTA|CAMRY,"img/Parts/9.jpg,img/Parts/10.jpg,img/Parts/11.jpg,img/Parts/12.jpg"
SKU-00054,"Product Description for SKU-00054 - High Quality Auto Part",68,40.8,49,45,30,1,1,1,BIN-5,public,0,"IC-3561,IC-5070",2019-2020|HONDA|ACCORD,"img/Parts/13.jpg,img/Parts/14.jpg,img/Parts/15.jpg,img/Parts/16.jpg"
SKU-00055,"Product Description for SKU-00055 - High Quality Auto Part",296,177.6,50,1,47,1,1,1,BIN-73,public,0,"IC-3690,IC-6671","2019-2024|BMW|5 SERIES","img/Parts/17.jpg,img/Parts/1.png,img/Parts/2.png,img/Parts/3.png"
SKU-00056,"Product Description for SKU-00056 - High Quality Auto Part",123,73.8,26,6,35,1,1,1,BIN-61,public,0,"IC-5802,IC-3262","2014-2015|BMW|3 SERIES","img/Parts/4.png,img/Parts/5.png,img/Parts/6.png,img/Parts/7.jpg"
SKU-00057,"Product Description for SKU-00057 - High Quality Auto Part",185,111,36,34,47,1,1,1,BIN-21,public,0,"IC-1686,IC-1034",2018-2023|TOYOTA|CAMRY,"img/Parts/8.png,img/Parts/9.jpg,img/Parts/10.jpg,img/Parts/11.jpg"
SKU-00058,"Product Description for SKU-00058 - High Quality Auto Part",483,289.8,43,11,36,1,1,1,BIN-64,public,0,"IC-2167,IC-5293",2019-2022|TOYOTA|CAMRY,"img/Parts/12.jpg,img/Parts/13.jpg,img/Parts/14.jpg,img/Parts/15.jpg"
SKU-00059,"Product Description for SKU-00059 - High Quality Auto Part",281,168.6,19,48,35,1,1,1,BIN-98,public,0,"IC-8843,IC-2161","2016-2021|BMW|5 SERIES","img/Parts/16.jpg,img/Parts/17.jpg,img/Parts/1.png,img/Parts/2.png"
SKU-00060,"Product Description for SKU-00060 - High Quality Auto Part",54,32.4,50,35,39,1,1,1,BIN-90,public,0,"IC-9228,IC-1942",2016-2018|CHEVROLET|MALIBU,"img/Parts/3.png,img/Parts/4.png,img/Parts/5.png,img/Parts/6.png"
SKU-00061,"Product Description for SKU-00061 - High Quality Auto Part",276,165.6,28,5,37,1,1,1,BIN-95,public,0,"IC-8189,IC-1056",2012-2013|CHEVROLET|MALIBU,"img/Parts/7.jpg,img/Parts/8.png,img/Parts/9.jpg,img/Parts/10.jpg"
SKU-00062,"Product Description for SKU-00062 - High Quality Auto Part",291,174.6,6,10,36,1,1,1,BIN-12,public,0,"IC-8486,IC-8682",2013-2014|CHEVROLET|EQUINOX,"img/Parts/11.jpg,img/Parts/12.jpg,img/Parts/13.jpg,img/Parts/14.jpg"
SKU-00063,"Product Description for SKU-00063 - High Quality Auto Part",479,287.4,40,44,34,1,1,1,BIN-6,public,0,"IC-3150,IC-6197",2016-2018|TOYOTA|COROLLA,"img/Parts/15.jpg,img/Parts/16.jpg,img/Parts/17.jpg,img/Parts/1.png"
SKU-00064,"Product Description for SKU-00064 - High Quality Auto Part",279,167.4,12,21,43,1,1,1,BIN-48,public,0,"IC-5005,IC-5506",2016-2017|FORD|EXPLORER,"img/Parts/2.png,img/Parts/3.png,img/Parts/4.png,img/Parts/5.png"
SKU-00065,"Product Description for SKU-00065 - High Quality Auto Part",350,210,3,4,28,1,1,1,BIN-67,public,0,"IC-2440,IC-8378",2011-2016|FORD|F-150,"img/Parts/6.png,img/Parts/7.jpg,img/Parts/8.png,img/Parts/9.jpg"
SKU-00066,"Product Description for SKU-00066 - High Quality Auto Part",398,238.8,21,31,37,1,1,1,BIN-49,public,0,"IC-7481,IC-3974",2015-2016|TOYOTA|CAMRY,"img/Parts/10.jpg,img/Parts/11.jpg,img/Parts/12.jpg,img/Parts/13.jpg"
SKU-00067,"Product Description for SKU-00067 - High Quality Auto Part",148,88.8,10,21,1,1,1,1,BIN-8,public,0,"IC-7205,IC-1729","2012-2017|BMW|5 SERIES","img/Parts/14.jpg,img/Parts/15.jpg,img/Parts/16.jpg,img/Parts/17.jpg"
SKU-00068,"Product Description for SKU-00068 - High Quality Auto Part",398,238.8,39,13,10,1,1,1,BIN-62,public,0,"IC-1720,IC-8313",2013-2016|TOYOTA|CAMRY,"img/Parts/1.png,img/Parts/2.png,img/Parts/3.png,img/Parts/4.png"
SKU-00069,"Product Description for SKU-00069 - High Quality Auto Part",380,228,25,7,35,1,1,1,BIN-58,public,0,"IC-4654,IC-6984",2014-2019|BMW|X5,"img/Parts/5.png,img/Parts/6.png,img/Parts/7.jpg,img/Parts/8.png"
SKU-00070,"Product Description for SKU-00070 - High Quality Auto Part",217,130.2,28,30,14,1,1,1,BIN-17,public,0,"IC-7730,IC-7139","2019-2022|BMW|5 SERIES","img/Parts/9.jpg,img/Parts/10.jpg,img/Parts/11.jpg,img/Parts/12.jpg"
SKU-00071,"Product Description for SKU-00071 - High Quality Auto Part",82,49.2,20,24,25,1,1,1,BIN-25,public,0,"IC-6050,IC-9949",2012-2013|HONDA|ACCORD,"img/Parts/13.jpg,img/Parts/14.jpg,img/Parts/15.jpg,img/Parts/16.jpg"
SKU-00072,"Product Description for SKU-00072 - High Quality Auto Part",149,89.4,15,6,13,1,1,1,BIN-45,public,0,"IC-5456,IC-8130","2020-2023|CHEVROLET|SILVERADO 1500","img/Parts/17.jpg,img/Parts/1.png,img/Parts/2.png,img/Parts/3.png"
SKU-00073,"Product Description for SKU-00073 - High Quality Auto Part",247,148.2,25,8,27,1,1,1,BIN-87,public,0,"IC-6142,IC-8219",2016-2020|CHEVROLET|EQUINOX,"img/Parts/4.png,img/Parts/5.png,img/Parts/6.png,img/Parts/7.jpg"
SKU-00074,"Product Description for SKU-00074 - High Quality Auto Part",306,183.6,27,23,32,1,1,1,BIN-70,public,0,"IC-8880,IC-9874","2020-2024|BMW|5 SERIES","img/Parts/8.png,img/Parts/9.jpg,img/Parts/10.jpg,img/Parts/11.jpg"
SKU-00075,"Product Description for SKU-00075 - High Quality Auto Part",328,196.8,38,22,27,1,1,1,BIN-70,public,0,"IC-9462,IC-9935",2016-2018|HONDA|ACCORD,"img/Parts/12.jpg,img/Parts/13.jpg,img/Parts/14.jpg,img/Parts/15.jpg"
SKU-00076,"Product Description for SKU-00076 - High Quality Auto Part",373,223.8,15,33,14,1,1,1,BIN-91,public,0,"IC-8631,IC-1289",2011-2012|TOYOTA|COROLLA,"img/Parts/16.jpg,img/Parts/17.jpg,img/Parts/1.png,img/Parts/2.png"
SKU-00077,"Product Description for SKU-00077 - High Quality Auto Part",387,232.2,32,22,16,1,1,1,BIN-95,public,0,"IC-4810,IC-7525",2014-2018|HONDA|CIVIC,"img/Parts/3.png,img/Parts/4.png,img/Parts/5.png,img/Parts/6.png"
SKU-00078,"Product Description for SKU-00078 - High Quality Auto Part",140,84,31,16,28,1,1,1,BIN-32,public,0,"IC-9618,IC-4236",2017-2018|TOYOTA|COROLLA,"img/Parts/7.jpg,img/Parts/8.png,img/Parts/9.jpg,img/Parts/10.jpg"
SKU-00079,"Product Description for SKU-00079 - High Quality Auto Part",265,159,43,36,6,1,1,1,BIN-7,public,0,"IC-9505,IC-3642",2018-2019|TOYOTA|RAV4,"img/Parts/11.jpg,img/Parts/12.jpg,img/Parts/13.jpg,img/Parts/14.jpg"
SKU-00080,"Product Description for SKU-00080 - High Quality Auto Part",185,111,21,27,3,1,1,1,BIN-84,public,0,"IC-2215,IC-1312",2012-2014|TOYOTA|RAV4,"img/Parts/15.jpg,img/Parts/16.jpg,img/Parts/17.jpg,img/Parts/1.png"
SKU-00081,"Product Description for SKU-00081 - High Quality Auto Part",325,195,43,24,17,1,1,1,BIN-68,public,0,"IC-6857,IC-4123",2010-2015|FORD|EXPLORER,"img/Parts/2.png,img/Parts/3.png,img/Parts/4.png,img/Parts/5.png"
SKU-00082,"Product Description for SKU-00082 - High Quality Auto Part",210,126,41,29,36,1,1,1,BIN-79,public,0,"IC-5743,IC-3185",2015-2016|BMW|X5,"img/Parts/6.png,img/Parts/7.jpg,img/Parts/8.png,img/Parts/9.jpg"
SKU-00083,"Product Description for SKU-00083 - High Quality Auto Part",321,192.6,43,14,29,1,1,1,BIN-74,public,0,"IC-4159,IC-5731",2019-2024|FORD|ESCAPE,"img/Parts/10.jpg,img/Parts/11.jpg,img/Parts/12.jpg,img/Parts/13.jpg"
SKU-00084,"Product Description for SKU-00084 - High Quality Auto Part",106,63.6,5,41,33,1,1,1,BIN-36,public,0,"IC-3634,IC-6265","2016-2017|BMW|5 SERIES","img/Parts/14.jpg,img/Parts/15.jpg,img/Parts/16.jpg,img/Parts/17.jpg"
SKU-00085,"Product Description for SKU-00085 - High Quality Auto Part",477,286.2,1,35,48,1,1,1,BIN-92,public,0,"IC-6236,IC-6698",2011-2013|CHEVROLET|EQUINOX,"img/Parts/1.png,img/Parts/2.png,img/Parts/3.png,img/Parts/4.png"
SKU-00086,"Product Description for SKU-00086 - High Quality Auto Part",325,195,38,17,46,1,1,1,BIN-75,public,0,"IC-3677,IC-5258",2019-2020|FORD|F-150,"img/Parts/5.png,img/Parts/6.png,img/Parts/7.jpg,img/Parts/8.png"
SKU-00087,"Product Description for SKU-00087 - High Quality Auto Part",278,166.8,7,12,19,1,1,1,BIN-91,public,0,"IC-9508,IC-5174",2011-2012|TOYOTA|RAV4,"img/Parts/9.jpg,img/Parts/10.jpg,img/Parts/11.jpg,img/Parts/12.jpg"
SKU-00088,"Product Description for SKU-00088 - High Quality Auto Part",95,57,6,40,3,1,1,1,BIN-91,public,0,"IC-5637,IC-7989","2018-2019|CHEVROLET|SILVERADO 1500","img/Parts/13.jpg,img/Parts/14.jpg,img/Parts/15.jpg,img/Parts/16.jpg"
SKU-00089,"Product Description for SKU-00089 - High Quality Auto Part",433,259.8,25,26,49,1,1,1,BIN-1,public,0,"IC-1661,IC-1826",2018-2022|HONDA|ACCORD,"img/Parts/17.jpg,img/Parts/1.png,img/Parts/2.png,img/Parts/3.png"
SKU-00090,"Product Description for SKU-00090 - High Quality Auto Part",452,271.2,42,23,40,1,1,1,BIN-96,public,0,"IC-6595,IC-9091","2013-2018|BMW|3 SERIES","img/Parts/4.png,img/Parts/5.png,img/Parts/6.png,img/Parts/7.jpg"
SKU-00091,"Product Description for SKU-00091 - High Quality Auto Part",434,260.4,0,37,12,1,1,1,BIN-45,public,0,"IC-2449,IC-6169","2015-2018|BMW|5 SERIES","img/Parts/8.png,img/Parts/9.jpg,img/Parts/10.jpg,img/Parts/11.jpg"
SKU-00092,"Product Description for SKU-00092 - High Quality Auto Part",100,60,33,14,49,1,1,1,BIN-4,public,0,"IC-1412,IC-7945",2014-2018|TOYOTA|COROLLA,"img/Parts/12.jpg,img/Parts/13.jpg,img/Parts/14.jpg,img/Parts/15.jpg"
SKU-00093,"Product Description for SKU-00093 - High Quality Auto Part",87,52.2,5,34,14,1,1,1,BIN-74,public,0,"IC-1326,IC-9655",2020-2023|TOYOTA|RAV4,"img/Parts/16.jpg,img/Parts/17.jpg,img/Parts/1.png,img/Parts/2.png"
SKU-00094,"Product Description for SKU-00094 - High Quality Auto Part",205,123,2,14,8,1,1,1,BIN-66,public,0,"IC-5106,IC-8989",2020-2023|FORD|EXPLORER,"img/Parts/3.png,img/Parts/4.png,img/Parts/5.png,img/Parts/6.png"
SKU-00095,"Product Description for SKU-00095 - High Quality Auto Part",371,222.6,3,29,27,1,1,1,BIN-16,public,0,"IC-1527,IC-2832",2011-2012|TOYOTA|CAMRY,"img/Parts/7.jpg,img/Parts/8.png,img/Parts/9.jpg,img/Parts/10.jpg"
SKU-00096,"Product Description for SKU-00096 - High Quality Auto Part",275,165,31,30,27,1,1,1,BIN-45,public,0,"IC-3920,IC-1211",2019-2023|HONDA|CR-V,"img/Parts/11.jpg,img/Parts/12.jpg,img/Parts/13.jpg,img/Parts/14.jpg"
SKU-00097,"Product Description for SKU-00097 - High Quality Auto Part",69,41.4,32,9,29,1,1,1,BIN-83,public,0,"IC-4289,IC-7447","2011-2014|BMW|5 SERIES","img/Parts/15.jpg,img/Parts/16.jpg,img/Parts/17.jpg,img/Parts/1.png"
SKU-00098,"Product Description for SKU-00098 - High Quality Auto Part",417,250.2,42,34,4,1,1,1,BIN-85,public,0,"IC-8072,IC-7553",2019-2024|BMW|X5,"img/Parts/2.png,img/Parts/3.png,img/Parts/4.png,img/Parts/5.png"
SKU-00099,"Product Description for SKU-00099 - High Quality Auto Part",193,115.8,23,34,21,1,1,1,BIN-16,public,0,"IC-3251,IC-6815",2019-2024|TOYOTA|RAV4,"img/Parts/6.png,img/Parts/7.jpg,img/Parts/8.png,img/Parts/9.jpg"
SKU-00100,"Product Description for SKU-00100 - High Quality Auto Part",187,112.2,14,41,18,1,1,1,BIN-66,public,0,"IC-6441,IC-7642",2018-2023|BMW|X5,"img/Parts/10.jpg,img/Parts/11.jpg,img/Parts/12.jpg,img/Parts/13.jpg"
SKU-00101,"Product Description for SKU-00101 - High Quality Auto Part",380,228,13,20,7,1,1,1,BIN-34,public,0,"IC-7210,IC-4203","2018-2019|CHEVROLET|SILVERADO 1500","img/Parts/14.jpg,img/Parts/15.jpg,img/Parts/16.jpg,img/Parts/17.jpg"
